[[0, 1], [2, 3], [4, 5], [6, 15], [7, 12], [8, 17], [9, 14], [10, 13], [11, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 12], [8, 15], [9, 14], [10, 13], [11, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 13], [10, 15], [11, 16], [12, 17]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 13], [9, 16], [10, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 15], [10, 13], [11, 16], [12, 17]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 17], [9, 16], [10, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 15], [9, 16], [10, 17], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 17], [9, 16], [10, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 13], [10, 17], [11, 16], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 12], [8, 11], [9, 16], [10, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 17], [10, 13], [11, 16], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 12], [8, 11], [9, 16], [10, 13], [14, 15]]
